code#name#location#population#area#income_med#income_med_m#income_med_f
101#Eisenstadt#lat:47,85N;lon:16,52E#12061#42.91#2174#2654#1811
102#Rust#lat:47,8N;lon:16,68E#1799#20.01#1348#1408#1335
103#Eisenstadt-Umgebung#lat:47,83N;lon:16,58E#39265#453.14#1969#2219#1526
104#Güssing#lat:47,06N;lon:16,32E#26604#485.44#1862#2199#1477
105#Jennersdorf#lat:46,94N;lon:16,14E#17752#253.35#1997#2266#1516
106#Mattersburg#lat:47,73N;lon:16,43E#37902#237.84#2035#2304#1516
107#Neusiedl am See#lat:47,85N;lon:17,0E#52169#1038.65#1624#1875#1388
108#Oberpullendorf#lat:47,5N;lon:16,52E#37505#701.49#1983#2303#1459
109#Oberwart#lat:47,29N;lon:16,2E#53158#732.62#1952#2337#1529
201#Klagenfurt#lat:46,62N;lon:14,31E#91723#120.11#2252#2700#1846
202#Villach#lat:46,61N;lon:13,86E#57829#134.89#2232#2699#1688
203#Hermagor#lat:46,6N;lon:13,13E#19472#808.02#1870#2225#1571
204#Klagenfurt Land#lat:46,63N;lon:14,2E#57262#765.59#2023#2320#1668
205#Sankt Veit an der Glan#lat:46,77N;lon:14,36E#57934#1493.49#2226#2594#1737
206#Spittal an der Drau#lat:46,85N;lon:13,33E#81172#2764.52#2086#2582#1600
207#Villach Land#lat:46,67N;lon:13,83E#64621#1009.37#1979#2363#1585
208#Völkermarkt#lat:46,55N;lon:14,67E#43354#907.49#2184#2512#1661
209#Wolfsberg#lat:46,83N;lon:14,83E#55989#973.79#2358#2634#1564
210#Feldkirchen#lat:46,72N;lon:14,1E#30535#558.56#2107#2416#1576
301#Krems an der Donau#lat:48,4N;lon:15,58E#23734#51.61#2225#2599#1692
302#Sankt Pölten#lat:48,2N;lon:15,62E#50474#108.48#2410#2922#2017
303#Waidhofen an der Ybbs#lat:47,97N;lon:14,77E#11824#131.57#2386#2853#1736
304#Wiener Neustadt#lat:47,8N;lon:16,25E#39324#60.97#1998#2403#1654
305#Amstetten#lat:48,0N;lon:14,77E#110211#1187.79#2443#2843#1621
306#Baden#lat:47,95N;lon:16,2E#130670#753.38#2239#2555#1751
307#Bruck an der Leitha#lat:48,05N;lon:16,7E#41028#494.95#1890#2162#1524
308#Gänserndorf#lat:48,34N;lon:16,72E#67717#1271.21#1947#2255#1461
309#Gmünd#lat:48,75N;lon:15,08E#39261#786.24#2314#2619#1635
310#Hollabrunn#lat:48,58N;lon:16,08E#49987#1010.72#1724#2153#1343
311#Horn#lat:48,75N;lon:15,7E#32049#783.99#1961#2289#1512
312#Korneuburg#lat:48,42N;lon:16,3E#70651#626.5#2246#2546#1710
313#Krems-Land#lat:48,5N;lon:15,5E#54661#923.95#1758#2124#1427
314#Lilienfeld#lat:47,92N;lon:15,6E#27171#931.55#2298#2502#1811
315#Melk#lat:48,17N;lon:15,27E#75808#1013.62#2036#2538#1436
316#Mistelbach#lat:48,58N;lon:16,5E#73026#1291.51#1991#2318#1450
317#Mödling#lat:48,07N;lon:16,25E#109762#277.02#2298#2675#1784
318#Neunkirchen#lat:47,65N;lon:16,03E#86408#1146.36#2259#2631#1602
319#Sankt Pölten-Land#lat:48,2N;lon:15,7E#94841#1121.61#2199#2571#1561
320#Scheibbs#lat:47,9N;lon:15,15E#41382#1023.51#2332#2673#1681
321#Tulln#lat:48,3N;lon:16,0E#66141#658.03#2101#2405#1553
322#Waidhofen an der Thaya#lat:48,83N;lon:15,4E#27629#669.14#2139#2461#1554
323#Wiener Neustadt Land#lat:47,8N;lon:16,25E#72831#969.72#2227#2485#1679
324#Wien-Umgebung#lat:48,13N;lon:16,5E#105476#484.47#2338#2591#1979
325#Zwettl#lat:48,6N;lon:15,17E#44921#1399.76#2107#2449#1498
401#Linz#lat:48,3N;lon:14,3E#187112#95.99#2456#3076#1879
402#Steyr#lat:47,9N;lon:14,47E#39116#26.56#2938#3838#1730
403#Wels#lat:48,1N;lon:14,0E#58146#45.92#2333#2754#1827
404#Braunau am Inn#lat:48,26N;lon:13,03E#95970#1040.46#2407#2786#1793
405#Eferding#lat:48,3N;lon:13,97E#31081#259.73#2026#2478#1550
406#Freistadt#lat:48,51N;lon:14,51E#64517#993.86#1900#2493#1376
407#Gmunden#lat:47,75N;lon:13,75E#100023#1432.74#2311#2775#1642
408#Grieskirchen#lat:48,27N;lon:13,8E#62448#578.99#2241#2661#1570
409#Kirchdorf an der Krems#lat:47,8N;lon:14,23E#55684#1239.79#2451#2792#1865
410#Linz-Land#lat:48,17N;lon:14,3E#132896#460.27#2380#2719#1664
411#Perg#lat:48,27N;lon:14,77E#65163#613.52#2291#2746#1547
412#Ried im Innkreis#lat:48,23N;lon:13,47E#58625#585.01#2260#2662#1611
413#Rohrbach#lat:48,53N;lon:13,95E#57563#827.94#1983#2468#1410
414#Schärding#lat:48,43N;lon:13,6E#57080#618.49#2218#2585#1556
415#Steyr-Land#lat:47,9N;lon:14,47E#58358#971.7#2214#2670#1586
416#Urfahr-Umgebung#lat:48,4N;lon:14,28E#79317#649.36#2100#2482#1546
417#Vöcklabruck#lat:47,92N;lon:13,55E#128189#1084.26#2368#2762#1718
418#Wels-Land#lat:48,13N;lon:13,93E#64940#457.66#2274#2677#1639
501#Salzburg#lat:47,78N;lon:13,17E#141552#1004.0#2313#2772#1891
502#Hallein#lat:47,6N;lon:13,3E#55383#668.31#2170#2657#1629
503#Salzburg-Umgebung#lat:47,78N;lon:13,17E#138212#1004.36#2391#2773#1765
504#Sankt Johann im Pongau#lat:47,3N;lon:13,3E#79405#1755.37#2007#2315#1733
505#Tamsweg#lat:47,15N;lon:13,7E#21261#1019.68#2074#2407#1651
506#Zell am See#lat:47,28N;lon:12,7E#84888#2640.85#2018#2394#1672
601#Graz#lat:47,07N;lon:15,44E#240278#127.56#2321#2766#1866
603#Deutschlandsberg#lat:46,82N;lon:15,21E#61391#863.49#2198#2600#1629
606#Graz-Umgebung#lat:47,13N;lon:15,4E#136234#1100.89#2344#2635#1717
610#Leibnitz#lat:46,78N;lon:15,54E#76325#681.52#2057#2408#1453
611#Leoben#lat:47,39N;lon:15,09E#66176#1099.68#2492#2978#1677
612#Liezen#lat:47,57N;lon:14,24E#81663#3270.77#2068#2434#1662
614#Murau#lat:47,11N;lon:14,17E#30775#1384.58#1903#2358#1433
616#Voitsberg#lat:47,05N;lon:15,15E#53250#678.6#2164#2467#1507
617#Weiz#lat:47,22N;lon:15,62E#86755#1070.48#2060#2456#1493
